Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-20:24:47|iPortal|28:ac:9e:91:e7:26|-89dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~278.7m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|iTaiwan|28:ac:9e:94:b8:60|-78dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~77.0m|179093519336|false|[ESS]
2022/09/04-20:24:47|NTUHW|28:ac:9e:94:b8:61|-78dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~77.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|WARD-N|28:ac:9e:94:b8:62|-78dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~77.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|wifiphone|28:ac:9e:94:b8:63|-78dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~77.0m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUHM|28:ac:9e:94:b8:64|-79dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~86.3m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|Crop|28:ac:9e:94:b8:65|-79dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~86.3m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|iPortal|28:ac:9e:94:b8:66|-79dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~86.3m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|ntu|28:ac:9e:94:b8:68|-78dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~77.0m|179093519336|false|[ESS]
2022/09/04-20:24:47|IOT|28:ac:9e:94:b8:6a|-78dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~77.0m|179093519336|false|[ESS]
2022/09/04-20:24:47|BP|28:ac:9e:94:b8:6b|-78dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~77.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUH-APP|28:ac:9e:94:b8:6c|-78dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~77.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|iTaiwan|28:ac:9e:95:ac:e0|-78dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~77.7m|179093519336|false|[ESS]
