Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-20:13:09|NTUH-APP|6c:b2:ae:2d:40:ea|-67dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~22.1m|178415967741|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|Meeting-Room2|6c:b2:ae:2d:40:eb|-67dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~22.1m|178415967939|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|ntu|6c:b2:ae:2d:40:eb|-60dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.2m|178415967917|false|[ESS]
2022/09/04-20:13:09|wifiphone|6c:b2:ae:2d:40:ec|-61dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.7m|178415967912|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|WARD-N|6c:b2:ae:2d:40:ed|-61dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.7m|178415967906|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|NTUHW|6c:b2:ae:2d:40:ee|-60dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.2m|178415967901|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|iTaiwan|6c:b2:ae:2d:40:ef|-61dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.7m|178415967895|false|[ESS]
2022/09/04-20:13:09|Airbox.Setup.40|74:da:38:f5:c3:41|-93dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~441.7m|178321494801|false|[WPS][ESS]
2022/09/04-20:13:09|Cjm|96:56:b3:30:fc:71|-77dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~69.3m|178321494859|false|[WPA2-PSK+SAE-CCMP][PMF-OPT][ESS]
2022/09/04-20:13:09|DIRECT-J8HL-L8360CDW_BR02eb|da:12:65:5b:02:eb|-86dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~193.3m|178321494872|false|[WPA2-PSK-CCMP][WPS][ESS][P2P]
2022/09/04-20:13:09|[TV]Samsung LED48|fc:f1:36:cb:46:34|-75dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~55.6m|178415967943|false|[WPA2-PSK-CCMP][WPS][ESS]
